User ID #	Item #	Item Type	Item Type Modifier	Category	Category Item #	Description	Nearby
042	000	LOSS		[missing]		Romantic relationship: not mutual, Subject is still in love with their partner	
042	001	BOXES	01	On the Floor	001	Cardboard Amazon box (repurposed); contains one cardboard tube, several packets of blank trading cards, one blue box in plastic wrap that reads "World Championships 2016" in gold lettering	ENTRY DOOR, DRESSER
042	002	CLOTHING	01	On the Floor	002	Nine pairs of shoes in rows perpendicular to front of dresser: grey slippers (with heels to dresser), grey tennis shoes and green tennis shoes (with toes to dresser), black flip-flops (underneath dresser), brown sandals (stacked one on top of the other, horizonal to dresser), black running shoes (stacked one on top of the other, heels to dresser), grey running shoes (toes to dresser), brown leather boots and purple tennis shoes (toes to dresser, in row 2)	DRESSER, LAUNDRY BAG, PAPER MACHE LAMP
042	003	BAGS	01	On the Floor	003	Large blue and white satchel laundry bag (approx 100% full)	PURPLE TENNIS SHOES, PRINTER
042	004	CLOTHING	02	On the Floor	004	Two black gloves and a dark blue flannel jacket	DRESSER, GREY RUNNING SHOES, WATER BOTTLE
042	005	BOTTLES	01	On the Floor	005	Black reusable water bottle	GLOVES, RUNNING SHOES, DRESSER
042	006	LIGHTING	01	On the Floor	006	Floor lamp with black base and long, tubal paper mache light cover	GLOVES, RUNNING SHOES
042	007	CORDS	01	On the Floor	007	One black cord with push-button, runs 3" across floor to lamp	CLOSET DOOR, PRINTER, LAUNDRY BAG
042	008	COMPUTERS	01	On the Floor	008	Black Brother printer, wifi-enabled	CLOSET DOOR, CORDS, KEYBOARD
042	009	COMPUTERS	02	On the Floor	009	Black Logitech keyboard	PRINTER, CORDS, BOOK
042	010	BOOKS	01	On the Floor	010	"Radiance (a novel)" by Catherynne M. Valente	KEYBOARD, CORDS, PORTABLE SPEAKER
042	011	ELECTRONICS	01	On the Floor	011	Green portable speaker	CORDS, TINS, EXTENSION CORD
042	012	CORDS	02	On the Floor	012	White Belkin extension cord (contains phone (?) charger and printer cable), other various cords wrapped into circles and not plugged in	PRINTER, KEYBOARD, TINS
042	013	FOOD		On the Floor	013	Yellow bag of M&Ms (open and folded)	CORDS, CALCULATOR, BOOK
042	014	TINS		On the Floor	014	Two dollar store (?) red seasonal holiday tins	CORDS, COMPUTER MONITOR, PORTABLE SPEAKER
042	015	ELECTRONICS	02	On the Floor	015	Calculator (?), turned upside-down	CORDS, BOOK, PRINTER
042	016	COMPUTERS	03	On the Floor	016	Large NEC MultiSync monitor (against wall)	TINS, TRASH BAG, TAPE MEASURE
042	017	BAGS	02	On the Floor	017	One trash bag (wadded)	COMPUTER MONITOR, GAMING MOUSE, TAPE MEASURE
042	018	BOXES	02	On the Floor	018	Logitec G700s gaming mouse (in box)	COMPUTER MONITOR, TAPE MEASURE
042	019	TOOLS	01	On the Floor	019	Alvin 25' tape measure	GAMING MOUSE, RUBBING ALCOHOL
042	020	MEDICINES		On the Floor	020	Bottle of rubbing alcohol (approx 40% full)	TRASH CAN, TAPE MEASURE, WINDOW
042	021	TRASH		On the Floor	021	White translucent plastic trash bin (empty, including trash bag)	RUBBING ALCOHOL, WINDOW, PC TOWER
042	022	COMPUTERS	04	On the Floor	022	Black PC computer tower with clear side panel so insides are visible	TRASH CAN, WINDOW, KLEENEX
042	023	PERSONAL ITEMS	01	On the Floor	023	Grey and white patterned box of Kleenex tissues (on top of PC tower)	PC TOWER
